"산업별",2025.1/2,2025.1/2,2025.1/2,2025.1/2,2025.1/2,2025.1/2,2025.1/2,2025.1/2,2025.1/2,2025.1/2,2025.1/2,2025.1/2,2025.1/2,2025.1/2,2025.1/2,2025.1/2,2025.1/2,2025.1/2,2025.1/2,2025.1/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2,2025.2/2
"산업별",취업자 (천명) (천명),연령(15~29세),RSE,연령(30~39세),RSE,연령(40~49세),RSE,연령(50~59세),연령(60세 이상),교육정도(중졸이하),RSE,교육정도(고졸),RSE,교육정도(대졸이상),종사상지위(임금근로자),종사상지위(상용근로자),종사상지위(임시·일용근로자),종사상지위(비임금근로자),RSE,주당 평균 취업시간,취업자 (천명) (천명),연령(15~29세),RSE,연령(30~39세),RSE,연령(40~49세),RSE,연령(50~59세),연령(60세 이상),교육정도(중졸이하),RSE,교육정도(고졸),교육정도(대졸이상),종사상지위(임금근로자),종사상지위(상용근로자),종사상지위(임시·일용근로자),종사상지위(비임금근로자),RSE,주당 평균 취업시간
"계",28887,3618,-,5537,-,6152,-,6674,6906,3349,-,10027,-,15511,22415,16677,5738,6472,-,38,29040,3521,-,5569,-,6138,-,6703,7110,3278,-,10152,15611,22488,16618,5871,6552,-,38
"농업, 임업 및 어업(01~03)",1427,23,-,42,-,84,-,208,1070,745,-,459,-,223,90,37,54,1337,-,34,1467,26,-,45,-,92,-,205,1099,744,-,487,235,95,38,58,1371,-,34
"광 업(05~08)",8,0,*,0,*,2,*,3,3,1,*,4,-,3,8,8,0,0,*,42,9,0,*,1,*,2,*,3,3,1,-,5,4,9,9,0,0,*,42
"제 조 업(10~34)",4397,499,-,1051,-,1150,-,1078,618,310,-,1782,-,2306,3990,3682,308,407,-,41,4364,482,-,1030,-,1148,-,1067,638,287,-,1771,2306,3946,3643,304,418,-,41
"전기, 가스, 증기 및 공기 조절 공급업(35)",89,9,-,23,-,23,-,25,10,1,*,17,-,71,85,82,3,5,-,39,102,10,-,28,-,26,-,27,11,1,*,20,81,96,89,7,6,-,39
"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",152,11,-,28,-,38,-,43,33,14,-,65,-,74,142,128,13,10,-,41,149,10,-,30,-,35,-,42,31,12,-,64,73,138,127,12,11,-,41
"건 설 업(41~42)",1948,124,-,274,-,450,-,647,453,206,-,918,-,823,1530,931,599,417,-,40,1937,110,-,280,-,446,-,643,458,182,-,918,837,1503,933,570,434,-,39
"도매 및 소매업(45~47)",3239,440,-,635,-,778,-,809,578,185,-,1359,-,1695,2138,1633,505,1101,-,40,3180,413,-,630,-,750,-,806,581,176,-,1330,1674,2078,1581,497,1102,-,40
"운수 및 창고업(49~52)",1716,138,-,276,-,350,-,472,479,181,-,874,-,661,1020,802,218,696,-,42,1730,134,-,282,-,347,-,476,490,174,-,877,679,1043,808,234,688,-,42
"숙박 및 음식점업(55~56)",2313,615,-,372,-,375,-,474,477,289,-,1203,-,821,1473,676,797,840,-,39,2352,621,-,382,-,391,-,464,493,282,-,1237,832,1502,687,815,850,-,39
"정보통신업(58~63)",1151,237,-,396,-,299,-,174,45,4,-,147,-,1000,1028,949,79,123,-,40,1128,221,-,386,-,292,-,181,48,3,-,144,981,998,919,79,130,-,40
"금융 및 보험업(64~66)",810,73,-,171,-,244,-,223,99,13,-,205,-,592,790,532,258,20,-,39,816,66,-,184,-,242,-,227,97,11,-,212,593,795,540,255,21,-,39
"부동산업(68)",517,16,-,39,-,80,-,144,239,65,-,183,-,269,366,280,86,152,-,39,531,19,-,39,-,80,-,140,253,69,-,190,272,378,285,93,152,-,39
"전문, 과학 및 기술 서비스업(70~73)",1516,251,-,474,-,374,-,262,155,8,-,167,-,1340,1319,1237,81,197,-,40,1445,231,-,450,-,354,-,256,155,8,-,165,1272,1257,1175,82,188,-,39
"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",1346,106,-,207,-,232,-,311,491,224,-,592,-,531,1229,806,423,118,-,39,1409,112,-,231,-,234,-,329,504,232,-,612,565,1289,837,452,120,-,39
"공공 행정, 국방 및 사회보장 행정(84)",1369,124,-,325,-,287,-,298,335,212,-,250,-,908,1369,985,384,-,-,34,1347,117,-,322,-,287,-,294,327,200,-,255,892,1347,968,379,0,*,34
"교육 서비스업(85)",1925,297,-,417,-,536,-,467,209,45,-,263,-,1617,1617,1191,426,309,-,34,1966,304,-,425,-,544,-,478,215,43,-,271,1652,1659,1205,454,307,-,34
"보건업 및 사회복지 서비스업(86~87)",3180,388,-,480,-,492,-,612,1209,679,-,819,-,1683,3082,2000,1082,98,-,31,3307,387,-,492,-,520,-,631,1277,693,-,852,1762,3200,2056,1144,107,-,31
"예술, 스포츠 및 여가관련 서비스업(90~91)",539,139,-,127,-,108,-,96,70,26,-,190,-,323,377,209,167,163,-,37,578,139,-,137,-,114,-,105,83,24,-,213,341,406,220,186,172,-,36
"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",1153,127,-,197,-,243,-,310,277,113,-,494,-,547,677,497,180,476,-,41,1136,120,-,191,-,228,-,310,288,112,-,491,533,664,488,176,472,-,40
"가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동(97~98)",77,0,*,1,*,4,*,15,56,28,-,35,-,14,74,1,73,3,*,26,76,1,*,2,*,3,*,15,55,22,-,37,16,73,1,73,3,*,26
"국제 및 외국기관(99)",14,1,*,3,*,3,*,4,3,0,*,3,*,11,14,13,1,-,-,40,13,1,*,4,*,2,*,4,2,0,*,3,10,13,12,1,0,-,39
